python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
except,英 [ksept]美 [kspt],vt. 把…除外; 不计; prep. 除…外; conj. 除非; [口语]要不是; 除…以外; 
logging,英 [lg]美 [lg],n. <美>伐木搬运业; 记录，存入; 航行日志; v. 砍伐树木(log的现在分词);
save,英 [sev]美 [sev],vt. 保存; 节省; 储蓄; 解救; vi. 节省; 挽救; 救球; prep.&conj. 除…
left,英 [left]美 [lft],adj. 左边的，左侧的; 左派的; n. 左，左面; [军]左翼; 左派，激进分子; adv. 向
root,"英 [ru:t]美 [rut, rt]",n. 根，根源; 原因，本质; 祖先; [乐]和弦基音; vt. 使生根; 使固定; 根源在于; 欢
share,英 [e(r)]美 [er],n. 股; （参与、得到等的）份; （分享到的或贡献出的）一份; 市场占有率; vt.& vi. 共
debug,英 [di:bg]美 [dibɡ],vt. 拆除窃听器; 排除故障;
loop,英 [lu:p]美 [lup],n. 回路; 圈，环; [医]宫内避孕环; 弯曲部分; vt.& vi. （使）成环，（使）成圈; 
kind,英 [kand]美 [kand],n. 〈古〉方式，方法; 本质，天性; 同类; 某类; adj. 仁慈的，体贴的; 友善的，好心的;
improvement,英 [mpru:vmnt]美 [mpruvmnt],n. 改进，改善，改良，增进，进步; （美）装修，改良措施; 利用，活用; 更优秀的人，更进步的人;
through,英 [θru:]美 [θru],prep. 透过; 经由; 通过，穿过; 凭借; adv. 从头到尾; 彻底; 自始至终; adj.
mode,英 [md]美 [mod],n. 方式; 状况; 时尚，风尚; 调式;
required,英 [r'kwad]美 [r'kwad],adj. 必须的，<美>（学科）必修的; v. 需要; 要求( require的过去式和过去分词 )
load,英 [ld]美 [lod],n. 负荷; 装载; 负担; 工作量; vt. 使担负; 装填; 把…装入或装上; 装满，堆积; v
generator,英 [denret(r)]美 [dnret],n. 发电机，发生器; 电力公司; 生产者，创始者; [乐]基础低音;
sure,英 [(r)]美 [r],adj. 确信的，确实的; 有把握的; 无疑的; 一定的; adv. 当然; 确实地; 无疑地;
book,英 [bk]美 [bk],n. 书; 卷; 课本; 账簿; vt.& vi. 预订; vt. 登记; （向旅馆、饭店、戏院等）
already,英 [:lredi]美 [lrdi],adv. 早已，已经; 先前;
wrapper,英 [rp(r)]美 [rp],n. 包装纸; 封套; 封皮; （食品等的）包装材料;
between,英 [btwi:n]美 [btwin],prep. 在…之间; 私下，暗中; 在…中任择其一; 来往于…之间; adv. 当中，中间;
install,英 [nst:l]美 [nstl],vt. 安装; 安顿，安置; 任命; 使…正式就职;
perform,英 [pf:m]美 [prfrm],vt.& vi. 执行; 履行; 表演; 扮演; vt. 进行; 完成; 做; 工作; vi. 运行
define,英 [dfan]美 [dfan],vt. 规定; 使明确; 精确地解释; 画出…的线条; vi. （给词、短语等）下定义，构成释义;
shape,英 [ep]美 [ep],n. 形状; 模型; 状态; 身材; vt. 塑造; 使符合; 体现; vi. 形成; 使成形;
info,英 [nf]美 [nfo],n. 信息;
descriptor,英 [dskrpt(r)]美 [dskrpt],n. 描述符;
place,英 [ples]美 [ples],n. 地方; 位; 职位; 座位; vt. 放置; 获名次; 投资; 评价; vi. 得名次; 名列
application,英 [plken]美 [plken],n. 适用，应用，运用; 申请，请求，申请表格; 勤勉，用功; 敷用，敷用药;
once,英 [wns]美 [wns],adv. 一旦; 曾经; 一次，一趟; 一倍; conj. 一旦…就…; 一经; n. 一次，一回;
take,英 [tek]美 [tek],vt. 采取; 拿，取; 接受（礼物等）; 耗费（时间等）; vi. 拿; 获得; n. 镜头; 看
available,英 [velbl]美 [velbl],adj. 可获得的; 有空的; 可购得的; 能找到的;
response,英 [rspns]美 [rspɑns],n. 反应; 回答，答复; [宗]回应经文，应唱圣歌;
extra,英 [ekstr]美 ['ekstr],adj. 额外的，补充的，附加的; 特大的，特别的; n. 附加物，额外的事物; 临时演员; 号外;
max,英 [mks]美 [mks],adv. 至多;
include,英 [nklu:d]美 [nklud],vt. 包括; 包含; 计入; 包住;
random,英 [rndm]美 [rndm],adj. 随机的; 任意的; 胡乱的; n. 随意; 偶然的行动;
specific,英 [spsfk]美 [spsfk],adj. 具体的; 明确的; 特种的; [免疫学]特效的; n. 特效药; 特性; 细节; 显著的性
address,英 [dres]美 [dres],n. 地址; 称呼; 演说; 通信处; v. 称呼; 演说; 写姓名地址; 向…说话;
copy,英 [kpi]美 [kɑpi],n. 复制品; 一份; （报刊等的）稿件; 准备排印的书面材料; vt.& vi. 复制; 抄写; 
special,英 [spel]美 [spl],adj. 特殊的; 专用的; 专门的; 重要的; n. 专车; 特价; 特刊; 特约稿;
top,英 [tp]美 [tɑp],n. 顶，顶部; （箱子）盖，（书页等的）上栏; 首席; 陀螺; adj. 最高的; 顶上的; 头等
tree,英 [tri:]美 [tri],n. 树; 木料; 树状图; 宗谱; vt. 把…赶上树; 使处于困境; 把鞋型插入（鞋内）;
returned,英 [r't:nd]美 [r'tnd],adj. 被送回的，归来的; v. 恢复; 归还; 返回，回来( return的过去式和过去分词 )
algorithm,英 [lgrm]美 [lɡrm],n. 演算法; 运算法则; 计算程序;
exchange,英 [kstend]美 [kstend],n. 交换; 交易所; 交易; 兑换（率）; vt. 兑换; 交换，互换; 交换，调换; vi. 交
operator,英 [pret(r)]美 [ɑpret(r)],n. 操作员; 经营者; 运算符; 电话接线员;
very,英 [veri]美 [vri],adj. 很，非常; 恰好是，正是; 十足的; 特有的; adv. 很，非常; 充分，完全;
cache,英 [k]美 [k],n. 藏物处; 隐藏处; 藏匿的珍宝; <电脑>快速缓冲贮存区; vt. 贮藏; vi. 躲藏;
always,"英 [:lwez]美 [lwez,-wz,-wiz]",adv. 常常; 总是，老是; 永远，始终; 不断地;
since,英 [sns]美 [sns],prep. 自从; 从…以来; 自从…之后; adv. 以后，此后; 后来; （距今几年）以前; （
calling,英 [k:l]美 [kl],n. 呼喊; （从事某职业或活动的）欲望; 职业; 邀请; v. 叫( call的现在分词); 通电
tag,英 [tg]美 [tɡ],vt. 附加; 加标签于; 起诉; 紧跟; vi. 跟在…后面; 随从; n. 标签; 附属物; 口
thus,英 [s]美 [s],adv. 于是，因此; 如此，这样，像这样，例如; 到这程度，到这地步，这么; 如下; conj. 
git,英 [gt]美 [ɡt],n. 饭桶，无用的人;
discuss,英 [dsks]美 [dsks],vt. 商量; 讨论，谈论; 论述，详述;
static,英 [sttk]美 [sttk],adj. 静止的; 静电的; 不变的; [物]静力的; n. 静电; 静力学; [物]静电（干扰）;
similar,英 [sml(r)]美 [sml],adj. 相似的; 类似的; 同样的; 同类的; n. 类似物; 相像的人; 相似物;
price,英 [pras]美 [pras],n. 代价; 价格，价钱; 价值; 赏金; vt. 定价; 标价; 问…的价格; 给…定价;
related,英 [rletd]美 [rletd],adj. 有关系的; 叙述的; vt. 叙述(relate过去式和过去分词);
second,英 [seknd]美 [seknd],n. 秒; 瞬间; 次货; 第二份食物; adj. 第二的; 次要的; 居第二位的; 另外的; ad
general,英 [denrl]美 [dnrl],adj. 普遍的; 大致的; 综合的; 总的，全体的; n. 一般; 常规; 上将; 一般原则;
float,英 [flt]美 [flot],vt.& vi. （使）浮动; （使）漂浮; 自由浮动; vi. 游荡; vt. 提出，提请考虑; 
etc,英 ['etk]美 ['etk],adv. 等等及其他; 诸如此类; abbr. [拉丁语]et cetera（常读作 and so 
something,英 [smθ]美 [smθ],pron. 某物，某事; 重要的事物[人]，有一定意义的事物; n. （表示不确切的描述或数量）大致
build,英 [bld]美 [bld],vt. 建立; 建造，构筑; 开发; 为…建立基础; vi. 建造，营造; 扩大，扩展; 发展，达到
bit,英 [bt]美 [bt],n. 一点，一块; 少量，少许; 一会儿，一转眼; [计] 比特（二进位制信息单位）; adj. 很
queue,英 [kju:]美 [kju],n. （人或车辆）行列，长队; 辫子; vi. （人、车等）排队等候; vt. （使）排队，列队等待
meta,英 ['met]美 ['met],abbr. (Greek=after or beyond) （希腊语）在…之后或超出; [辨证法]元
lists,英 ['lsts]美 ['lsts],n. 名单; 清单; 目录; 竞技场; 一览表( list的名词复数 );
consider,英 [knsd(r)]美 [knsdr ],vt.& vi. 考虑; 把（某人，某事）看作…，认为（某人，某事）如何; 考虑，细想; vt. 考
large,英 [lɑ:d]美 [lɑrd],adv. 大大地; 夸大地; 详细地; 顺风地; adj. 大的; 大规模的; 大型号的; 广泛的;
important,英 [mp:tnt]美 [mprtnt],adj. 重要的; 权威的; 有势力的; 有地位的;
length,英 [leθ]美 [leθ],n. 长度，长; 时间的长短; （语）音长; 一段，一节;
well,英 [wel]美 [wl],adv. 好; 很; 好意地; 高高兴兴地; adj. 良好的; 井的; 健康的; 恰当的; int
org,英 [':ɡ]美 ['ɡ],abbr. Other organizations 非盈利组织;
event,英 [vent]美 [vnt],n. 事件，大事; 活动，经历; 结果; 运动项目;
apply,英 [pla]美 [pla],vt. 申请; 涂; 应用，运用; 敷（药）; vi. 申请，请求，适用; 适用，适合; 专心致志;
step,英 [step]美 [stp],n. 步，脚步; 步骤，手段; 步调; 级别; vt.& vi. 举步，行走; 踩，踏上; 跨入; 
word,英 [w:d]美 [wrd],n. 单词; 话语; 诺言; 消息; vt. 措辞，用词; 用言语表达; vi. 讲话;
implement,英 [mplment]美 [mplmnt],vt. 实施，执行; 使生效，实现; 落实（政策）; 把…填满; n. 工具，器械; 家具; 手段;
move,英 [mu:v]美 [muv],vt.& vi. 移动，搬动; vi. 行动; 搬家; 进展; （机器等）开动; vt. 提议; 使
own,英 [n]美 [on],n. 自己的事物; 自己人; vt. 拥有; 承认; vi. 承认; adj. 自己的; 特有的;
interpreter,英 [nt:prt(r)]美 [ntrprt(r)],n. 解释者; 口译译员; [军事]判读员; [自]翻译器;
feature,英 [fi:t(r)]美 [fit],n. 特征，特点; 容貌，面貌; （期刊的）特辑; 故事片; vt. 使有特色; 描写…的特征; 以
means,英 [mi:nz]美 [minz],n. 手段; 方法（ mean的名词复数）; 收入; 财富; v. 意味着（ mean的第三人称单数
running,英 [rn]美 [rn],n. 跑步; 运转; 流出; adj. 跑着的; 流动的; 连续的; 操作中的，运转着的; v. 跑
getting,英 [get]美 ['ɡet],n. 获得（物），利益; v. 得到( get的现在分词 ); 抓住; 说服; 受到（惩罚等）;
network,英 [netw:k]美 [netwrk],n. 网; （电视与计算机）网络; 网状物; 广播网; vt.& vi. 将…连接成网络; 建立工作
still,英 [stl]美 [stl],adv. 仍，仍然; 更，还要; 静静地; 〈诗〉常，不断地; adj. 不动的，静止的; 不狂暴的
provide,英 [prvad]美 [prvad],vt.& vi. 提供，供给，供应; vt. 规定; 提供(+for); 装备; 预备; vi. 抚
normal,英 [n:ml]美 [nrml],adj. 正常的; 正规的，标准的; [数学]正交的; 精神健全的; n. 标准; 正常，常态; [
although,英 [:lu]美 [lo],conj. 虽然; 尽管; 但是; 然而;
sort,英 [s:t]美 [srt],n. 分类，类别; 品质，本性; 方法; 一群; vt.& vi. 分类; 整顿，整理; 适合; v
signature,英 [sgnt(r)]美 [sɡnt],n. 签名; 署名; 识别标志，鲜明特征; [医]药的用法说明;
handle,英 [hndl]美 [hndl],n. 手柄; （织物、毛皮等的）手感; 举动; 柄状物; vi. 操作，操控; 容易搬运; vt. 
task,英 [tɑ:sk]美 [tsk],n. 作业; 工作，任务; 苦差事; vt. 交给某人（任务）; 使过于劳累;
working,英 [w:k]美 [wrk],adj. （涉及）工作的; （人）有工作的; （时间）用于工作上的; （想法等）可作为基础的; v.
making,英 [mek]美 [mek],n. 制造; 产生的过程; 成功改进的手段; 原料，材料; v. “make”的现在分词;
actually,英 [ktuli]美 [ktuli],adv. 实际上; 确实; 竟; 事实上;
easy,英 [i:zi]美 [izi],adj. 容易的; 舒适的; 宽裕的; 从容的; adv. 容易地; 不费力地; 悠闲地; 缓慢地;
map,英 [mp]美 [mp],n. 地图，天体图; 类似地图的事物; 〈美俚〉脸，面孔; （染色体上基因排列的）遗传图; vt. 
ref,英 [ref]美 [rf],n. 裁判员;
original,英 [rdnl]美 [rdnl],adj. 原始的; 最初的; 独创的; 新颖的; n. 原件; 原文; 原型; 怪人;
sign,英 [san]美 [san],n. 迹象; 符号; 手势; 指示牌; vt.& vi. 签名; 打手势;
reading,英 [ri:d]美 ['rid],n. 阅读; 读数; 宣读; 读物; v. 读( read的现在分词); 看懂; 理解; 显示，标明
directly,"英 [drektli]美 [drktli, da-]",adv. 直接地; 不久，立即; 正好地，恰好地; 坦率地; conj. 一…就…;
parse,英 [pɑ:z]美 [pɑrs],vt. 从语法上描述或分析（词句等）;
count,英 [kant]美 [kant],n. 总数; 数数; 罪状; 论点; v. 数数; 计算总数; 把…算入; 重要;
character,英 [krkt(r)]美 [krkt],n. 性格; 角色; 特点; 字母; vt. 刻，印; 使具有特征;
section,英 [sekn]美 [ skn],n. 部分; 节; 部件; 部门; vi. 切开; 切断; 做（动物或植物组织）切片; 把（精神病患
content,英 ['kntent]美 [kɑntent],n. 内容; 满足; （书等的）目录; 容量; adj. 满足的，满意的; 愿意的; 心甘情愿的; 
stock,英 [stk]美 [stɑk],n. 库存; 股份，股票; 树干; 家畜; adj. 常备的，存货的; 陈旧的; vt. 提供货物;
setting,英 [set]美 [st],n. 环境; 镶嵌; 装置; （某事、戏剧、小说等的）背景; v. 放( set的现在分词); 安插
custom,英 [kstm]美 [kstm],n. 习惯，惯例; 海关，关税; 经常光顾; [总称]（经常性的）顾客; adj. （衣服等）定做的
app,英 [p]美 [p],n. 计算机应用程序; abbr. 应用(Application); 穿甲试验(Armor Pier
underlying,英 [ndla]美 [ndrla],adj. 潜在的，含蓄的; 基础的; 表面下的，下层的; [法]优先的; v. 优先于(underl
ma,"英 [mɑ:]美 [mɑ, m]",n. <口>妈; [化]元素 masurium 的符号;
know,英 [n]美 [no],v. 知道; 了解; 认识; 确信; n. 知情;
show,英 []美 [o],vt.& vi. 表现出; 给…看; 显露出; 上演; vt. 表明; 说明; 指示; 演示; n.
ready,英 [redi]美 [rdi],adj. 准备好的，现成的; 即时的，敏捷的; 情愿的; 即将的; vt. 做好…的准备; adv.
various,英 [veris]美 [veris],adj. 各种各样的; 多方面的; 许多的; 各个的，个别的;
lambda,英 [lmd]美 ['lmd],n. 希腊字母的第 11个字;
draft,英 [drɑ:ft]美 [drft],n. 汇票; 草稿; 选派; （尤指房间、烟囱、炉子等供暖系统中的）（小股）气流; vt. 起草; 
along,英 [l]美 [l],adv. 一起; 向前; 进展; 到某处; prep. 沿着; 顺着; 靠着…边;
interface,英 [ntfes]美 [ntrfes],n. 界面; <计>接口; 交界面; v. （使通过界面或接口）接合，连接; [计算机]使联系; v
around,英 [rand]美 [rand],adv. 大约; 旋转; 到处，四处; 在周围; prep. 围绕; 在附近; 前后，左右; 在…周
net,英 [net]美 [nt],n. 网; 网状织物; 球网; 网罩; vt. 用网捕; 捕获; 净赚; 踢入球门; adj. 净的
put,英 [pt]美 [pt],vt. 放; 表达; 给予（重视、信任、价值等）; 使处于（某种状态）; vt.& vi. 使感觉到
child,英 [tald]美 [tald],n. 小孩，孩子; 幼稚的人; 产物; 弟子;
science,英 [sans]美 [sans],n. 科学; 理科; 学科; 技术，知识;
written,英 [rtn]美 [rtn],adj. 书面的; 写成文字的; 明显受到…影响; （感情）全挂在脸上; v. 写( write的过
window,英 [wnd]美 [wndo],n. 窗口; 窗，窗户; 〈美俚〉眼镜;
behavior,英 [b'hevj]美 [bhevj],n. 行为; 态度; （机器等的）运转状态; （事物的）反应;
later,英 [let(r)]美 [let],adv. 后来; 随后; 较晚地; 以后，过后; adj. 以后的; 后来的; 接近末期的; 晚年的
definition,英 [defnn]美 [dfnn],n. 定义; 规定，明确; [物]清晰度; 解释;
close,英 [klz]美 [kloz],adj. 亲密的; 紧密的; 亲近的; vt. 关; 结束; 使靠近; vi. 关闭; 关; 结束;
advanced,英 [dvɑ:nst]美 [dvnst],adj. 先进的; 高等的，高深的; 年老的; 晚期的; v. 前进(advance的过去式和过去分
series,英 [sri:z]美 [sriz],n. 串联; 级数; 系列，连续; （广播或电视上题材或角色相同的）系列节目;
automatically,英 [:t'mtkl]美 [tmtkl],adv. 自动地; 无意识地; 不自觉地; 机械地;
parameter,英 [prmt(r)]美 [prmt],n. [数]参数; <物><数>参量; 限制因素; 决定因素;
operation,英 [pren]美 [ɑpren],n. 手术; 操作，经营; [数]运算; 作用;
empty,英 [empti]美 [mpti],adj. 空的，空虚的，空洞的; 空闲的，无效的，徒劳的; 无聊的，愚蠢的; 言语或行动空洞的; v
non,英 [nn]美 [nn],adv. 非，不; n. [法]反对票，投反对票的人;
matrix,英 [metrks]美 [metrks],n. 基质; <数>矩阵; 模型; 母体，子宫;
row,英 [r]美 [ro],n. 划船; 行，排; 吵闹; 路，街; vt. 划船; 使…成排; 与…进行划船比赛; 〈口〉争吵
added,英 ['dd]美 ['dd],adj. 更多的; 附加的; 额外的; v. 添加; 加入; 增加; 加;
person,英 [p:sn]美 [prsn],n. 人; （语法）人称; 身体; 容貌;
full,英 [fl]美 [fl],adj. 满的，装满的; 完全的，完整的; 丰富的; 详尽的; adv. 极其，十分; 充分地，完全
fact,英 [fkt]美 [fkt],n. 实际; 事实，实情; 真相，证据; 犯罪行为;
certain,英 [s:tn]美 [srtn],adj. 某一; 必然的; 已确定的; pron. [动词用复数]某些;
body,英 [bdi]美 [bɑdi],n. 身体; 尸体; 团体; 物体; vt. 赋予形体;
though,英 []美 [o],conj. 即使; 虽然，尽管; 纵然; adv. 不过; 然而; 可是，但是; 话虽这样说; pr
probably,英 [prbbli]美 [prɑbbli],adv. 大概; 或许; 很可能; 备不住;
image,英 [md]美 [md],n. 影像; 肖像; 概念，意向; 镜像，映像; vt. 反映; 想像; 作…的像; 象征;
